detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,1000,0.3,rbf,10.0,0.01,0.3998360935146127,0.395,33.14334201812744,33.14334201812744
SIFT,500,4,1000,0.3,rbf,10.0,0.001,0.39928890404912354,0.395,28.36898112297058,28.36898112297058
SIFT,500,4,1000,0.4,linear,0.1,scale,0.38088038764559845,0.385,24.22539472579956,24.22539472579956
SIFT,500,4,1000,0.4,linear,0.1,0.01,0.38088038764559845,0.385,25.179764986038208,25.179764986038208
SIFT,500,4,1000,0.4,linear,0.1,0.001,0.38088038764559845,0.385,25.447711944580078,25.447711944580078
SIFT,500,4,1000,0.4,linear,1.0,scale,0.38428408053758983,0.39,25.320190906524658,25.320190906524658
SIFT,500,4,1000,0.4,linear,1.0,0.01,0.38428408053758983,0.39,24.5981388092041,24.5981388092041
SIFT,500,4,1000,0.4,linear,1.0,0.001,0.38428408053758983,0.39,25.337850093841553,25.337850093841553
SIFT,500,4,1000,0.4,linear,10.0,scale,0.38326760524270126,0.392,27.216449975967407,27.216449975967407
SIFT,500,4,1000,0.4,linear,10.0,0.01,0.38326760524270126,0.392,27.972136974334717,27.972136974334717
SIFT,500,4,1000,0.4,linear,10.0,0.001,0.38326760524270126,0.392,28.19389295578003,28.19389295578003
SIFT,500,4,1000,0.4,rbf,0.1,scale,0.43354422265153963,0.447,38.46021509170532,38.46021509170532
SIFT,500,4,1000,0.4,rbf,0.1,0.01,0.38805108297849733,0.253,21.27710509300232,21.27710509300232
SIFT,500,4,1000,0.4,rbf,0.1,0.001,0.38375983683530684,0.284,19.78545308113098,19.78545308113098
SIFT,500,4,1000,0.4,rbf,1.0,scale,0.4341266350971285,0.449,34.997567892074585,34.997567892074585
SIFT,500,4,1000,0.4,rbf,1.0,0.01,0.3762057724306237,0.385,20.368175745010376,20.368175745010376
SIFT,500,4,1000,0.4,rbf,1.0,0.001,0.38051474192394436,0.227,18.168323040008545,18.168323040008545
SIFT,500,4,1000,0.4,rbf,10.0,scale,0.41047310889538213,0.407,39.12813329696655,39.12813329696655
SIFT,500,4,1000,0.4,rbf,10.0,0.01,0.3850850665196199,0.387,20.727570056915283,20.727570056915283
SIFT,500,4,1000,0.4,rbf,10.0,0.001,0.37854795207633063,0.388,17.486497163772583,17.486497163772583
SIFT,500,4,1000,0.5,linear,0.1,scale,0.4005565811955608,0.404,14.466325998306274,14.466325998306274
SIFT,500,4,1000,0.5,linear,0.1,0.01,0.4005565811955608,0.404,14.229586124420166,14.229586124420166
SIFT,500,4,1000,0.5,linear,0.1,0.001,0.4005565811955608,0.404,13.843501091003418,13.843501091003418
SIFT,500,4,1000,0.5,linear,1.0,scale,0.40167157769587536,0.404,16.043885946273804,16.043885946273804
SIFT,500,4,1000,0.5,linear,1.0,0.01,0.40167157769587536,0.404,17.625032901763916,17.625032901763916
SIFT,500,4,1000,0.5,linear,1.0,0.001,0.40167157769587536,0.404,17.761170148849487,17.761170148849487
SIFT,500,4,1000,0.5,linear,10.0,scale,0.40199344348749183,0.403,18.56336212158203,18.56336212158203
