detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,2,500,0.5,linear,0.1,scale,0.39219605466010415,0.388,8.558600902557373,8.558600902557373
SIFT,500,2,500,0.5,linear,0.1,0.01,0.39219605466010415,0.388,8.420997858047485,8.420997858047485
SIFT,500,2,500,0.5,linear,0.1,0.001,0.39219605466010415,0.388,8.295320987701416,8.295320987701416
SIFT,500,2,500,0.5,linear,1.0,scale,0.3919836030672229,0.382,8.947143077850342,8.947143077850342
SIFT,500,2,500,0.5,linear,1.0,0.01,0.3919836030672229,0.382,8.948463201522827,8.948463201522827
SIFT,500,2,500,0.5,linear,1.0,0.001,0.3919836030672229,0.382,8.910346031188965,8.910346031188965
SIFT,500,2,500,0.5,linear,10.0,scale,0.3928883330255825,0.395,8.914186000823975,8.914186000823975
SIFT,500,2,500,0.5,linear,10.0,0.01,0.3928883330255825,0.395,8.82486081123352,8.82486081123352
SIFT,500,2,500,0.5,linear,10.0,0.001,0.3928883330255825,0.395,8.623791217803955,8.623791217803955
SIFT,500,2,500,0.5,rbf,0.1,scale,0.441288057582556,0.439,11.602416753768921,11.602416753768921
SIFT,500,2,500,0.5,rbf,0.1,0.01,0.3735352551169092,0.27,6.4396138191223145,6.4396138191223145
SIFT,500,2,500,0.5,rbf,0.1,0.001,0.3791573742837324,0.236,6.554274082183838,6.554274082183838
SIFT,500,2,500,0.5,rbf,1.0,scale,0.4413303342707904,0.445,11.894292116165161,11.894292116165161
SIFT,500,2,500,0.5,rbf,1.0,0.01,0.3875942200816249,0.385,7.285073757171631,7.285073757171631
SIFT,500,2,500,0.5,rbf,1.0,0.001,0.3740519024665107,0.311,6.55964207649231,6.55964207649231
SIFT,500,2,500,0.5,rbf,10.0,scale,0.42338852389586384,0.434,15.654383182525635,15.654383182525635
SIFT,500,2,500,0.5,rbf,10.0,0.01,0.3928442564128689,0.386,8.200684070587158,8.200684070587158
SIFT,500,2,500,0.5,rbf,10.0,0.001,0.3904281047392542,0.397,7.2568700313568115,7.2568700313568115
SIFT,500,2,1000,0.3,linear,0.1,scale,0.3848219515223751,0.409,34.697674036026,34.697674036026
SIFT,500,2,1000,0.3,linear,0.1,0.01,0.3848219515223751,0.409,34.80061602592468,34.80061602592468
SIFT,500,2,1000,0.3,linear,0.1,0.001,0.3848219515223751,0.409,35.324538230895996,35.324538230895996
SIFT,500,2,1000,0.3,linear,1.0,scale,0.3864099028326902,0.415,37.06253695487976,37.06253695487976
SIFT,500,2,1000,0.3,linear,1.0,0.01,0.3864099028326902,0.415,37.22164297103882,37.22164297103882
SIFT,500,2,1000,0.3,linear,1.0,0.001,0.3864099028326902,0.415,37.421626806259155,37.421626806259155
SIFT,500,2,1000,0.3,linear,10.0,scale,0.3873350374744639,0.418,36.93321919441223,36.93321919441223
SIFT,500,2,1000,0.3,linear,10.0,0.01,0.3873350374744639,0.418,36.21687579154968,36.21687579154968
SIFT,500,2,1000,0.3,linear,10.0,0.001,0.3873350374744639,0.418,36.22113394737244,36.22113394737244
SIFT,500,2,1000,0.3,rbf,0.1,scale,0.44442003498405713,0.446,48.16551494598389,48.16551494598389
SIFT,500,2,1000,0.3,rbf,0.1,0.01,0.3824643065860821,0.353,28.993660926818848,28.993660926818848
SIFT,500,2,1000,0.3,rbf,0.1,0.001,0.3853037449926244,0.324,28.885700941085815,28.885700941085815
SIFT,500,2,1000,0.3,rbf,1.0,scale,0.44531480374180027,0.447,46.603506088256836,46.603506088256836
SIFT,500,2,1000,0.3,rbf,1.0,0.01,0.38602197380328007,0.416,30.37722086906433,30.37722086906433
SIFT,500,2,1000,0.3,rbf,1.0,0.001,0.3855114774060321,0.34,22.476794958114624,22.476794958114624
SIFT,500,2,1000,0.3,rbf,10.0,scale,0.4173901493415201,0.429,53.384933948516846,53.384933948516846
SIFT,500,2,1000,0.3,rbf,10.0,0.01,0.3866986022550109,0.412,29.054169178009033,29.054169178009033
SIFT,500,2,1000,0.3,rbf,10.0,0.001,0.38066922915771106,0.406,25.61091184616089,25.61091184616089
SIFT,500,2,1000,0.4,linear,0.1,scale,0.38840665169087607,0.395,20.276379108428955,20.276379108428955
SIFT,500,2,1000,0.4,linear,0.1,0.01,0.38840665169087607,0.395,21.007113218307495,21.007113218307495
SIFT,500,2,1000,0.4,linear,0.1,0.001,0.38840665169087607,0.395,21.984392166137695,21.984392166137695
SIFT,500,2,1000,0.4,linear,1.0,scale,0.3895657864000876,0.396,23.307605028152466,23.307605028152466
SIFT,500,2,1000,0.4,linear,1.0,0.01,0.3895657864000876,0.396,23.850181818008423,23.850181818008423
SIFT,500,2,1000,0.4,linear,1.0,0.001,0.3895657864000876,0.396,24.19499182701111,24.19499182701111
SIFT,500,2,1000,0.4,linear,10.0,scale,0.3916007769407143,0.396,24.42478108406067,24.42478108406067
SIFT,500,2,1000,0.4,linear,10.0,0.01,0.3916007769407143,0.396,24.959699153900146,24.959699153900146
SIFT,500,2,1000,0.4,linear,10.0,0.001,0.3916007769407143,0.396,25.317050218582153,25.317050218582153
SIFT,500,2,1000,0.4,rbf,0.1,scale,0.46769978444715604,0.453,36.22584795951843,36.22584795951843
SIFT,500,2,1000,0.4,rbf,0.1,0.01,0.3772201796618461,0.341,19.770405054092407,19.770405054092407
SIFT,500,2,1000,0.4,rbf,0.1,0.001,0.3742846083429104,0.283,19.9204580783844,19.9204580783844
SIFT,500,2,1000,0.4,rbf,1.0,scale,0.46777695997868163,0.456,33.54220485687256,33.54220485687256
